KEGG,gene_names
NA,PA1237
NA,PA1238
NA,PA1239
NA,PA1240
NA,PA1241
NA,PA1242
NA,PA1243
NA,PA1244
NA,PA1245
ko02010,PA1246
NA,PA1247
NA,PA1248
ko01503,PA1249
NA,PA1250
ko02020,PA1251
ko00270,PA1252
ko00040,PA1253
ko00261,PA1254
NA,PA1255
ko02010,PA1256
NA,PA1257
NA,PA1258
NA,PA1259
NA,PA1260
NA,PA1261
NA,PA1262
NA,PA1263
NA,PA1264
NA,PA1265
NA,PA1266
ko00330,PA1267
ko00330,PA1268
NA,PA1269
NA,PA1270
NA,PA1271
ko00860,PA1272
ko00860,PA1273
ko00740,PA1274
ko00860,PA1275
ko00340,PA1276
ko00860,PA1277
ko00860,PA1278
ko00860,PA1279
ko00010,PA1280
ko00860,PA1281
NA,PA1282
NA,PA1283
NA,PA1284
NA,PA1285
NA,PA1286
ko00480,PA1287
NA,PA1288
NA,PA1289
NA,PA1290
NA,PA1291
ko00270,PA1292
NA,PA1293
NA,PA1294
NA,PA1295
NA,PA1296
NA,PA1297
NA,PA1298
NA,PA1299
NA,PA1300
NA,PA1301
NA,PA1302
ko02024,PA1303
ko05142,PA1304
NA,PA1305
NA,PA1306
NA,PA1307
NA,PA1308
NA,PA1309
ko00230,PA1310
ko00440,PA1311
NA,PA1312
NA,PA1313
NA,PA1314
NA,PA1315
NA,PA1316
ko00190,PA1317
ko00190,PA1318
ko00190,PA1319
ko00190,PA1320
ko00190,PA1321
NA,PA1322
NA,PA1323
NA,PA1324
NA,PA1325
ko00260,PA1326
ko04210,PA1327
NA,PA1328
NA,PA1329
NA,PA1330
NA,PA1331
ko00633,PA1334
ko02020,PA1335
ko02020,PA1336
ko00220,PA1337
ko00430,PA1338
ko02010,PA1339
ko02010,PA1340
ko02010,PA1341
ko02010,PA1342
NA,PA1343
NA,PA1344
NA,PA1345
ko00330,PA1346
NA,PA1347
NA,PA1349
NA,PA1350
NA,PA1351
NA,PA1352
NA,PA1353
NA,PA1354
NA,PA1355
NA,PA1356
NA,PA1357
NA,PA1358
NA,PA1359
NA,PA1360
NA,PA1361
NA,PA1363
NA,PA1364
NA,PA1365
NA,PA1366
NA,PA1367
NA,PA1368
NA,PA1370
NA,PA1372
ko00061,PA1373
NA,PA1374
ko00750,PA1375
NA,PA1376
NA,PA1377
NA,PA1379
NA,PA1380
ko03070,PA1382
NA,PA1383
